Equações,MSE,RMSE,MAE,R2,Median absolute error,Mean absolute percentage error
(x2*erf(erf(x0)))**1.3729877 - sinh(x5*sin(0.005194147/cos(x4*x5))),0.0045760258966725375,0.06764632951367382,0.023365383287179076,0.7658172858415574,0.014160585664028225,0.04080994928678232
(x2*sin(x0**0.7609862))**1.8388513 - sinh(x5*sin(0.005194147/cos(x4*x5))),0.004540436969565391,0.06738276463284502,0.020716542287056286,0.7676385848752886,0.01141322930319355,0.036043196298450056
(x2*sin(x0**0.7609862))**1.8388513 - sinh(x5*sin(sinh(0.004461695/cos(x4*x5)))),0.0032495547637664173,0.05700486614111481,0.019614205425216222,0.8337007762699352,0.01103813011928323,0.03440965964157218
sinh(x0*x2) - sinh(erf(x5)**x1*0.010551355*x3/cos(x5*(x4 - 1*0.005194147))),0.002742959567242822,0.05237327149646871,0.026478824879346736,0.8596262934720541,0.0164317182236432,0.050271824407901504
sinh(x0*x2) - sinh(erf(x5)**x1*0.010551355*x3/sinh(cos(x5*(x4 - 1*0.005194147)))),0.0027181251656180276,0.05213564198912322,0.026323685013123918,0.8608972188794527,0.016419074853106563,0.04994771264514258
sinh(x0*x2) - 0.87507164*sinh(erf(x5)**x1*0.010828639*x3/cos(x5*(x4 - 1*0.005194147))),0.002413142051026309,0.0491237422335301,0.025875413536761198,0.8765050356095806,0.016419074853106563,0.049348224465643166
(x2*erf(erf(x0)))**1.3729877 - sinh(erf(x5)**x1*0.010551355*x3/cos(x5*(x4 - 1*0.005194147))),0.002270989278113512,0.0476548977347923,0.022613379057878608,0.8837798463159785,0.013866640289433962,0.03994800534321616
(x2*sin(x0**0.7609862))**1.8388513 - sinh(erf(x5)**x1*0.010551355*x3/cos(x5*(x4 - 1*0.005194147))),0.0022310402298341154,0.04723388857413833,0.019878978154966972,0.8858242789230838,0.011281705161926503,0.03512466726832031
(x2*sin(x0**0.7609862))**1.8388513 - sinh(erf(x5)**x1*0.010551355*x3/sinh(cos(x5*(x4 - 1*0.005194147)))),0.002206625271563028,0.04697473013826719,0.019723838288743696,0.8870737388962334,0.011242709295054387,0.0348005555055604
(x2*erf(erf(x0)))**1.3729877 - sinh(sinh((erf(x5)**x1)**2.6759686*x4*0.010828639/cos(x5*(x4 - 1*0.005194147)))),0.003275888036127672,0.057235373993079416,0.023953887033526175,0.8323531446495118,0.013866640289433962,0.04186599929927364
(x2*sin(x0**0.7609862))**1.8388513 - sinh(sinh((erf(x5)**x1)**2.6759686*x4*0.010828639/cos(x5*(x4 - 1*0.005194147)))),0.003215180282476091,0.056702559752414096,0.021219486130610556,0.8354599248211292,0.011290031169611359,0.03704266122436942
(x2*sin(x0**0.7609862))**1.8388513 - sinh(sinh(x4*(erf(x5)**x1)**2.6759686*sin(0.010828639)/cos(x5*(x4 - 1*0.005194147)))),0.003215052498769205,0.05670143295163893,0.02121932612986565,0.8354664642804721,0.011290031169611359,0.037042420221829256
(x2*erf(erf(x0)))**1.3729877 - 0.5560011*sinh(sinh((erf(x5)**x1)**x5*x4*0.0122183330821707/cos(x5*(x4 - 1*0.005194147)))),0.001690453820238144,0.04111512884861416,0.021328023526579722,0.9134893305409968,0.013864698545118181,0.03788512606206741
