Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Fast Transit,0.33,765.6,2.0,11.12593081,4.40735585,4.8285799,0.3372222222222222,0.24030699,0.7126072191103789,0.0398494911675,228.72430000000003,457.44860000000006,0.8341725674833679
Transit,0.29,672.8,2.0,9.40558333,4.461,3.813,0.0066666666666666,0.003941,0.59115,0.0359057382911363,234.5143,469.0286,8.110819155325137
Transit,0.32,742.4,2.0,9.17170701,4.26633758,4.27422293,0.1744444444444444,0.120736,0.6921171974522293,0.0388800932363636,230.134,460.268,0.6779743139050188
Transit,0.3,696.0,2.0,10.94335974,2.49058086,4.08953465,0.0841666666666666,0.05311101,0.631021900990099,0.0369086159318181,233.029,466.0580000000001,0.3050665778749418
Transit,0.32,742.4,2.0,9.06196438,4.27522646,4.27107888,0.1091666666666666,0.074937,0.6864458015267175,0.0388800932363636,230.134,460.268,0.4811629337128035
Transit,0.34,788.8000000000001,2.0,9.18509091,2.561,4.00954545,0.0091666666666666,0.006692,0.7300363636363636,0.0408085274627272,227.33980000000005,454.6796000000001,5.098106315410532
Transit,0.36,835.1999999999999,2.0,9.167,2.566,3.829,0.0152777777777777,0.011886,0.7779927272727274,0.04269711168,224.64640000000003,449.29280000000006,2.5922187178192835
Transit,0.35,812.0,2.0,9.64200404,4.5723161,4.30970948,2.063333333333333,1.55903899,0.7555924022617125,0.0417576012556818,225.9805,451.961,0.9732158069660068
Eco Transit,0.23,533.6,2.0,5.23379167,4.82754167,4.55954167,0.0533333333333333,0.023171,0.43445625,0.0296233811902272,243.9553,487.9106,0.2784679638439117
Eco Transit,0.22,510.4,2.0,6.34450895,4.41349494,3.87451245,0.7138888888888888,0.293879,0.411659299610895,0.02852841455,245.617,491.234,0.9029246235695644
Transit,0.33,765.6,2.0,10.06344062,2.52875536,3.67527776,4.1425,2.92110399,0.705154855763428,0.0398494911675,228.72430000000003,457.44860000000006,0.986358071707163
Eco Transit,0.24,556.8,2.0,6.4107598,2.58497549,3.63086275,0.0566666666666666,0.026361,0.4651941176470587,0.0307039948581818,242.3188,484.6376,0.164750762800418
Transit,0.33,765.6,2.0,9.05277124,2.575,4.54281699,0.0424999999999999,0.029957,0.7048705882352942,0.0398494911675,228.72430000000003,457.44860000000006,0.3302230252528624
Eco Transit,0.33,765.6,2.0,8.9444,4.2246,4.237,0.0055555555555555,0.003911,0.70398,0.0398494911675,228.72430000000003,457.44860000000006,9.18907981782153
Eco Transit,0.32,742.4,2.0,8.84997727,4.682,3.38367045,0.0244444444444444,0.017682,0.7233545454545455,0.0388800932363636,230.134,460.268,1.198851557310465
Transit,0.32,742.4,2.0,9.15284311,4.2817434,4.28325806,0.1894444444444444,0.131072,0.6918756598240469,0.0388800932363636,230.134,460.268,0.7033684292879971
Fast Transit,0.31,719.2,2.0,11.04464602,4.41,4.81592035,0.0313888888888888,0.021265,0.6774690265486725,0.0378999345356818,231.5689,463.1378,0.7822682593784073
Transit,0.35,812.0,2.0,10.39016168,2.55579341,4.1206976,0.0927777777777777,0.071384,0.769408383233533,0.0417576012556818,225.9805,451.961,0.4150285602420456
Eco Transit,0.34,788.8000000000001,2.0,7.15927517,4.69618121,4.1285906,0.0827777777777777,0.061128,0.7384590604026845,0.0408085274627272,227.33980000000005,454.6796000000001,0.3324085940530152
Transit,0.35,812.0,2.0,9.07585106,4.628,4.037,0.0130555555555555,0.00982,0.7521702127659574,0.0417576012556818,225.9805,451.961,3.2523015535317525
Eco Transit,0.33,765.6,2.0,8.87663975,2.5319472,4.26817391,0.1788888888888888,0.127914,0.7150472049689441,0.0398494911675,228.72430000000003,457.44860000000006,0.6884665387096017
