Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Transit,0.34,788.8000000000001,2.0,9.10429892,2.48585376,4.21496559,0.1291666666666666,0.09516701,0.7367768516129031,0.0408085274627272,227.33980000000005,454.6796000000001,0.5711904003001955
Eco Transit,0.22,510.4,2.0,4.44246814,4.30088643,4.36439058,0.2005555555555555,0.084851,0.4230797783933517,0.02852841455,245.617,491.234,0.663782223544802
Eco Transit,0.36,835.1999999999999,2.0,8.446,2.566,3.841,0.0136111111111111,0.01096601,0.8056660408163265,0.04269711168,224.64640000000003,449.29280000000006,2.8935867904552346
Eco Transit,0.22,510.4,2.0,5.220687,2.374904,4.546724,0.0275,0.010646,0.3871272727272727,0.02852841455,245.617,491.234,1.6797308425699795
Fast Transit,0.35,812.0,2.0,11.06568421,4.612,4.64305263,0.0263888888888888,0.019886,0.7535747368421053,0.0417576012556818,225.9805,451.961,1.0998492032425733
Eco Transit,0.36,835.1999999999999,2.0,8.94291209,4.48,4.01149451,0.0252777777777777,0.020359,0.805410989010989,0.04269711168,224.64640000000003,449.29280000000006,1.0972106527825536
Transit,0.33,765.6,2.0,10.959,4.411,4.83,0.0075,0.005369,0.7158666666666667,0.0398494911675,228.72430000000003,457.44860000000006,6.422144005867015
Eco Transit,0.31,719.2,2.0,8.6734073,2.56749672,4.24170385,1.3988888888888888,0.93526701,0.6685784821286735,0.0378999345356818,231.5689,463.1378,0.9594768829324132
Fast Transit,0.34,788.8000000000001,2.0,11.037,4.43,4.46,0.0080555555555555,0.006091,0.7561241379310345,0.0408085274627272,227.33980000000005,454.6796000000001,5.699807496753782
Transit,0.33,765.6,2.0,9.01976786,2.534,4.47898214,0.0155555555555555,0.011274,0.7247571428571429,0.0398494911675,228.72430000000003,457.44860000000006,2.5346364349387973
