Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Transit,0.28,649.6,2.0,9.13,4.453,3.855,0.01,0.005741,0.5740999999999999,0.03489090248,236.02480000000003,472.04960000000005,5.07749564187424
Transit,0.36,835.1999999999999,1.97896508,10.00015923,4.51111054,4.31302713,7.923333333333334,6.181708,0.7801903239377367,0.04269711168,224.64640000000003,449.29280000000006,0.993092991179784
Transit,0.35,812.0,2.0,9.6559727,4.52225201,4.23622716,1.5872222222222223,1.22494098,0.7717514049702484,0.0417576012556818,225.9805,451.961,0.965910519823019
Fast Transit,0.28,649.6,0.15957447,11.09491489,2.48968085,4.38575532,0.0522222222222222,0.002378,0.0455361702127659,0.03489090248,236.02480000000003,472.04960000000005,13.67237278385198
Eco Transit,0.31,719.2,2.0,8.983194,2.611333,4.132239,0.0086111111111111,0.00577,0.6700645161290323,0.0378999345356818,231.5689,463.1378,5.56844619335907
Eco Transit,0.24,556.8,2.0,6.751449,2.444779,4.240347,0.2288888888888889,0.107733,0.4706781553398058,0.0307039948581818,242.3188,484.6376,0.7149991659177614
Fast Transit,0.35,812.0,2.0,11.078,4.382,3.838,0.0036111111111111,0.002825,0.7823076923076923,0.0417576012556818,225.9805,451.961,13.781451771922766
Eco Transit,0.21,487.2,2.0,4.07541304,4.50623913,3.705,0.0127777777777777,0.00483,0.378,0.0274186958038636,247.3039,494.6078,4.676748613636363
Transit,0.36,835.1999999999999,2.0,9.04191489,4.59865957,4.0083617,0.0522222222222222,0.041091,0.7868489361702128,0.04269711168,224.64640000000003,449.29280000000006,0.0390867021975615
Eco Transit,0.23,533.6,2.0,5.56585028,4.51509927,4.96250781,1.8663888888888889,0.81579,0.4370954011013543,0.0296233811902272,243.9553,487.9106,0.963687491645856
Transit,0.28,649.6,1.99983296,10.19089176,2.44821448,4.16707843,3.325833333333333,1.98265799,0.5961387090954648,0.03489090248,236.02480000000003,472.04960000000005,0.98240195603277
Eco Transit,0.19,440.8,2.0,4.156,4.711,4.109,0.0061111111111111,0.001916,0.3135272727272727,0.0251534054593181,250.7533,501.5066000000001,12.12808218127254
Transit,0.31,719.2,2.0,10.50888,2.57204571,4.15845143,0.0486111111111111,0.03134301,0.6447704914285713,0.0378999345356818,231.5689,463.1378,0.2091989421463296
Eco Transit,0.21,487.2,2.0,6.154762,2.546315,4.435617,0.0174999999999999,0.006799,0.3885142857142857,0.0274186958038636,247.3039,494.6078,3.0327541997151983
Transit,0.33,765.6,2.0,10.58327132,4.46131112,4.07442921,5.673888888888889,4.112165,0.7247524723391755,0.0398494911675,228.72430000000003,457.44860000000006,0.9903093647342702
Transit,0.34,788.8000000000001,2.0,10.362985,4.87461,4.153591,0.0369444444444444,0.026511,0.717590977443609,0.0408085274627272,227.33980000000005,454.6796000000001,0.539305475565889
Eco Transit,0.32,742.4,2.0,8.71859121,4.24195558,4.27714319,0.5877777777777778,0.402657,0.6850497164461247,0.0388800932363636,230.134,460.268,0.9034411590103644
Transit,0.31,719.2,2.0,10.55319611,2.54153485,4.10781686,0.3427777777777777,0.222336,0.648630145867099,0.0378999345356818,231.5689,463.1378,0.8295375713528991
Eco Transit,0.29,672.8,2.0,5.65477727,4.50504378,3.70802688,0.3616666666666666,0.21414098,0.5920948755760369,0.0359057382911363,234.5143,469.0286,0.832326636913979
Fast Transit,0.36,835.1999999999999,2.0,11.06,4.593,4.04,0.0033333333333333,0.002726,0.8178,0.04269711168,224.64640000000003,449.29280000000006,14.662916977256051
